21;ABAC;16.20M;7.79M;4.06M;39.35%;0.00%;1.80%;16.64%;0.19%;0.09;89.03K;2.16;3.85%;11,418;1537985976.688595
22;ABB;51.27B;2.15B;2.14B;-;-;5.40%;-6.66%;0.14%;1.38;2.12M;23.88;0.23%;1,014,101;1537985976.688595
23;ABBV;142.66B;1.52B;1.51B;0.09%;-3.09%;71.60%;-4.39%;2.08%;5.47;5.75M;95.05;1.36%;2,405,415;1537985976.688595
24;ABC;19.57B;218.59M;158.99M;0.20%;-34.92%;68.80%;-0.80%;2.43%;2.96;1.31M;91.20;1.87%;747,763;1537985976.688595
25;ABCB;2.27B;48.25M;46.28M;1.30%;-0.59%;78.50%;10.95%;2.75%;3.37;377.52K;46.95;-0.21%;68,932;1537985976.688595
26;ABCD;565.12M;47.73M;14.53M;69.25%;-0.19%;22.40%;25.33%;1.57%;1.62;141.06K;11.80;-0.34%;19,809;1537985976.688595
27;ABDC;84.81M;13.57M;12.67M;0.30%;14.00%;35.00%;-7.71%;0.48%;1.22;49.57K;6.16;-1.44%;47,566;1537985976.688595
28;ABEO;730.95M;53.16M;31.38M;34.54%;0.00%;76.70%;10.33%;38.10%;21.38;559.25K;13.25;-3.64%;177,898;1537985976.688595
29;ABEV;71.21B;15.72B;4.39B;0.04%;0.00%;7.75%;-;0.57%;0.76;32.67M;4.69;3.53%;13,490,558;1537985976.688595
30;ABG;1.43B;20.45M;19.96M;0.50%;-30.58%;-;-0.56%;8.95%;8.43;211.98K;70.65;0.71%;63,394;1537985976.688595
31;ABIL;10.14M;2.77M;1.64M;50.39%;0.00%;17.70%;-;13.94%;0.24;959.59K;3.66;0.00%;31,140;1537985976.688595
32;ABIO;8.06M;14.31M;13.76M;0.10%;-10.03%;12.90%;-29.33%;1.00%;0.15;907.51K;0.53;-5.91%;252,884;1537985976.688595
33;ABM;2.21B;66.09M;64.99M;0.70%;-3.19%;-;0.09%;9.78%;10.23;621.25K;33.37;-0.18%;154,529;1537985976.688595
34;ABMD;19.67B;44.54M;42.98M;2.20%;-20.10%;87.20%;-1.04%;2.47%;1.67;636.70K;450.98;2.14%;474,347;1537985976.688595
35;ABR;860.30M;75.07M;57.22M;1.70%;0.41%;56.50%;29.05%;16.18%;6.06;1.53M;11.38;-0.70%;512,266;1537985976.688595
36;ABT;126.18B;1.75B;1.74B;0.70%;-2.51%;74.60%;1.14%;0.73%;2.60;4.90M;73.23;1.43%;3,757,478;1537985976.688595
37;ABTX;575.90M;13.44M;11.71M;2.60%;-5.82%;46.80%;3.06%;3.69%;18.39;23.49K;42.60;-0.58%;949;1537985976.688595
38;ABUS;574.50M;58.03M;35.27M;3.30%;-2.75%;40.50%;19.80%;4.77%;3.62;464.68K;9.80;-1.01%;85,640;1537985976.688595
39;ABX;13.24B;1.18B;1.16B;0.10%;0.00%;72.10%;-2.17%;2.76%;2.39;13.43M;11.09;-0.81%;12,869,084;1537985976.688595
40;AC;894.77M;22.51M;3.82M;0.35%;-;83.50%;0.43%;7.47%;24.73;11.54K;39.15;-1.51%;3,514;1537985976.688595
41;ACAD;2.67B;124.91M;124.86M;0.12%;-;96.00%;-5.08%;12.69%;5.31;2.98M;21.55;0.65%;2,541,859;1537985977.0861404
42;ACBI;445.00M;26.10M;25.25M;1.60%;-;88.40%;3.11%;0.71%;3.12;57.80K;17.05;0.00%;38,440;1537985977.0861404
43;ACC;5.62B;136.74M;136.10M;0.10%;-2.15%;-;0.12%;2.28%;4.55;681.69K;41.42;0.80%;152,332;1537985977.0861404
44;ACCO;1.22B;104.93M;102.27M;1.90%;-1.78%;95.80%;-2.35%;4.18%;9.47;451.59K;11.60;0.00%;183,815;1537985977.0861404
45;ACER;306.62M;10.03M;7.62M;18.88%;-;7.70%;16.96%;1.21%;1.76;52.37K;30.82;0.82%;2,925;1537985977.0861404
46;ACET;85.75M;30.30M;29.63M;1.70%;-7.73%;61.30%;-15.64%;3.15%;3.82;244.51K;2.42;-14.49%;1,269,623;1537985977.0861404
47;ACGL;12.03B;405.57M;392.47M;1.20%;-1.06%;92.80%;-0.53%;1.68%;5.61;1.18M;29.76;0.37%;445,708;1537985977.0861404
48;ACGLO;9.59B;404.80M;357.63M;-;-;31.46%;-;0.00%;0.59;21.06K;23.50;-0.84%;11,942;1537985977.0861404
49;ACGLP;9.39B;404.80M;357.63M;0.11%;-;28.68%;-;0.00%;0.16;38.50K;23.24;0.17%;22,656;1537985977.0861404
50;ACH;8.08B;735.69M;138.36M;-;-;1.40%;-3.30%;0.28%;6.19;61.79K;10.83;-1.37%;15,993;1537985977.0861404
51;ACHC;3.16B;89.04M;86.27M;0.20%;-4.37%;-;-5.11%;14.47%;15.28;816.92K;34.83;-1.89%;455,956;1537985977.0861404
52;ACHN;493.39M;139.77M;138.41M;0.10%;0.00%;83.40%;-2.71%;4.43%;5.67;1.08M;3.75;6.23%;1,638,236;1537985977.0861404
53;ACHV;13.35M;4.70M;3.95M;0.10%;-;16.80%;-;7.50%;0.35;848.16K;2.75;-3.21%;51,088;1537985977.0861404
54;ACIA;1.65B;40.99M;36.51M;7.80%;-2.69%;92.40%;-2.22%;9.06%;5.65;585.64K;42.14;4.67%;574,646;1537985977.0861404
55;ACIM;-;-;-;-;-;-;-;-;0.90;2.79K;81.39;0.02%;3,159;1537985977.0861404
56;ACIU;550.96M;65.59M;40.83M;52.70%;0.00%;18.00%;-2.42%;3.44%;6.15;228.60K;8.47;0.83%;9,754;1537985977.0861404
57;ACIW;3.33B;116.41M;113.75M;2.30%;-6.42%;-;3.52%;7.07%;18.86;426.69K;28.66;0.10%;141,535;1537985977.0861404
58;ACLS;645.61M;32.04M;31.74M;2.60%;-0.83%;85.20%;-1.97%;6.88%;6.43;339.52K;19.85;-1.49%;85,310;1537985977.0861404
59;ACM;5.26B;160.68M;159.67M;0.69%;-1.98%;85.10%;-0.91%;5.51%;12.29;716.13K;32.88;0.52%;224,964;1537985977.0861404
60;ACMR;184.59M;16.35M;6.02M;1.80%;-;12.00%;72.56%;8.09%;8.08;60.27K;11.31;0.18%;8,013;1537985977.0861404
61;ACN;116.44B;673.79M;671.91M;0.20%;-7.01%;73.80%;1.51%;1.08%;3.64;1.99M;174.10;0.74%;1,120,733;1537985977.462853
62;ACNB;277.41M;7.31M;6.74M;3.10%;2.10%;21.50%;7.23%;0.32%;2.61;8.32K;38.00;0.13%;1,220;1537985977.462853
63;ACOR;878.34M;47.35M;46.67M;1.40%;-70.15%;-;-4.31%;9.12%;6.49;655.76K;19.35;4.31%;296,706;1537985977.462853
64;ACP;-;-;-;19.73%;-;40.40%;100.00%;-;0.57;67.95K;14.24;-0.28%;38,179;1537985977.462853
65;ACRE;397.19M;28.11M;25.63M;1.00%;0.00%;64.20%;1.15%;0.29%;0.78;94.53K;14.06;-0.49%;62,210;1537985977.462853
66;ACRS;472.97M;31.51M;28.16M;5.60%;2.17%;-;1.28%;15.42%;18.30;237.29K;15.23;1.47%;58,515;1537985977.462853
67;ACRX;235.55M;56.76M;50.87M;1.40%;9.25%;9.70%;-59.96%;6.40%;4.34;750.49K;4.05;-2.30%;1,362,888;1537985977.462853
68;ACSF;36.80M;10.00M;-;0.21%;0.00%;35.35%;-;-;0.09;59.89K;3.68;0.00%;0;1537985977.462853
69;ACSI;-;-;-;-;-;-;-;-;-;2.91K;34.07;0.17%;2,159;1537985977.462853
70;ACST;19.77M;25.64M;-;18.07%;0.00%;3.71%;-;-;1.53;341.11K;0.82;6.36%;704,521;1537985977.462853
71;ACT;-;-;-;-;-;-;-;-;0.44;7.61K;27.07;0.43%;2,622;1537985977.462853
72;ACTG;151.20M;48.00M;47.32M;0.60%;-24.26%;60.80%;-4.83%;2.55%;7.94;152.30K;3.25;3.17%;86,888;1537985977.462853
73;ACU;68.81M;3.22M;2.96M;12.00%;-5.39%;59.70%;-0.47%;1.01%;6.13;4.90K;21.11;-1.20%;2,475;1537985977.462853
74;ACV;256.60M;10.33M;10.28M;-;-;18.50%;0.26%;0.48%;1.26;39.52K;24.87;0.12%;14,601;1537985977.462853
75;ACWF;-;-;-;-;-;-;-;-;0.41;16.68K;30.86;0.39%;90,894;1537985977.462853
76;ACWI;-;-;-;-;-;-;-;-;1.50;1.98M;74.91;0.56%;1,584,145;1537985977.462853
77;ACWV;-;-;-;-;-;-;-;-;-;179.07K;87.99;0.39%;45,922;1537985977.462853
78;ACWX;-;-;-;-;-;-;-;-;0.60;566.05K;48.38;0.62%;222,522;1537985977.462853
79;ACXM;3.88B;76.40M;75.91M;2.90%;-5.47%;95.80%;-4.07%;4.53%;3.66;940.39K;49.81;-1.81%;445,996;1537985977.462853
80;ACY;22.07M;1.41M;0.83M;41.33%;0.00%;21.60%;-0.33%;0.16%;0.48;2.82K;15.55;-0.64%;8;1537985977.462853
