No.;Ticker;Market Cap;P/E;Fwd P/E;PEG;P/S;P/B;P/C;P/FCF;EPS this Y;EPS next Y;EPS past 5Y;EPS next 5Y;Sales past 5Y;Price;Change;Volume
1;A;22.43B;27.38;23.59;2.53;4.66;4.91;10.52;36.35;49.40%;9.13%;-8.50%;10.84%;-8.20%;70.46;0.73%;1,135,059
2;AA;7.67B;49.19;10.62;10.93;0.60;1.55;7.04;36.88;158.50%;-3.77%;-;4.50%;-;41.45;-1.22%;2,667,445
3;AABA;41.18B;2.44;4.12;-;157.90;0.86;15838.16;-;-;-;50.10%;-0.83%;-59.50%;67.81;0.33%;1,954,348
4;AAC;172.55M;-;7.92;-;0.52;1.13;15.14;-;25.00%;21.51%;-64.60%;20.00%;36.90%;7.25;0.00%;68,037
5;AADR;-;-;-;-;-;-;-;-;-;-;-;-;-;53.25;1.70%;5,362
6;AAL;19.46B;8.13;7.31;0.68;0.45;-;4.16;8.91;16.20%;23.02%;18.90%;11.89%;11.20%;40.88;-2.61%;3,876,031
7;AAMC;98.77M;-;-;-;5.99;-;3.37;-;-55.70%;-;-;-;-;60.60;0.62%;50
8;AAME;56.76M;115.22;-;-;0.31;0.53;7.57;33.39;67.00%;-;-0.20%;-;5.30%;2.59;-2.33%;1,182
9;AAN;3.78B;24.85;13.59;2.07;1.05;2.17;40.08;15.74;13.10%;17.13%;-0.90%;12.00%;8.90%;53.59;-1.25%;186,228
10;AAOI;657.23M;22.95;11.28;1.77;2.04;1.90;8.63;298.74;94.00%;25.66%;116.60%;13.00%;43.20%;33.33;0.36%;445,117
11;AAON;2.07B;49.50;27.87;4.12;4.86;8.64;85.03;715.40;-5.50%;61.14%;13.80%;12.00%;6.00%;38.80;-1.27%;63,480
12;AAP;12.50B;28.36;20.88;1.90;1.33;3.39;13.86;19.83;-27.80%;15.57%;-3.00%;14.90%;8.60%;167.40;-0.15%;281,099
13;AAPL;1078.01B;19.16;16.12;1.78;4.22;9.38;15.19;23.52;10.80%;16.30%;7.90%;10.75%;7.90%;222.45;0.75%;13,135,214
14;AAT;1.74B;92.56;160.17;30.85;5.28;2.12;33.93;7.40;-13.40%;76.92%;61.20%;3.00%;6.00%;37.21;1.00%;33,135
15;AAU;70.98M;-;-;-;-;1.17;7.39;-;-11.60%;-;20.60%;-;-;0.64;2.00%;97,832
16;AAV;461.90M;20.83;11.36;-;3.03;0.46;153.97;-;680.10%;139.13%;24.10%;-2.00%;-0.80%;2.50;0.00%;0
17;AAWW;1.62B;37.81;8.62;3.78;0.67;0.90;6.93;-;115.00%;3.92%;-5.70%;10.00%;5.60%;62.55;0.32%;71,572
18;AAXJ;-;-;-;-;-;-;-;-;-;-;-;-;-;70.68;0.34%;225,006
19;AAXN;3.75B;125.73;89.61;4.19;9.73;7.87;12.03;88.20;-24.20%;37.07%;-1.90%;30.00%;24.50%;66.04;3.80%;273,854
20;AB;2.99B;10.97;11.38;1.38;11.24;1.95;-;-;10.20%;0.76%;37.10%;7.93%;26.80%;30.45;0.33%;75,991
21;ABAC;16.36M;25.61;-;-;0.59;0.19;0.26;-;-15.10%;-;28.20%;-;0.40%;2.13;1.43%;11,038
22;ABB;51.62B;23.20;15.47;3.74;1.45;3.75;12.01;21.98;18.00%;20.89%;-2.60%;6.20%;-2.70%;23.90;-0.38%;1,007,064
23;ABBV;142.11B;21.80;10.49;1.34;4.59;-;37.97;23.29;-2.40%;13.23%;1.20%;16.32%;9.00%;94.04;0.67%;1,726,405
24;ABC;19.58B;40.58;12.56;3.98;0.12;6.32;8.20;13.48;-74.00%;9.98%;-11.10%;10.20%;14.40%;89.97;0.45%;348,077
25;ABCB;2.29B;22.85;11.17;2.86;7.04;1.36;4.76;-;13.00%;28.35%;38.80%;8.00%;17.90%;47.35;-0.21%;52,738
26;ABCD;566.08M;9.74;23.25;-;3.55;-;120.44;17.53;466.40%;30.77%;19.70%;-;1.30%;11.88;0.19%;79,695
27;ABDC;85.42M;-;7.74;-;2.74;0.58;6.73;-;-310.60%;-14.24%;0.75%;-;-;6.24;-0.89%;30,969
28;ABEO;729.62M;-;-;-;187.08;4.04;6.09;-;-2.50%;9.60%;52.10%;-;-28.30%;13.93;1.46%;281,992
29;ABEV;70.74B;34.35;18.00;1.45;5.42;5.14;-;-;-4.30%;13.60%;42.22%;23.65%;-;4.46;-0.89%;16,433,832
30;ABG;1.46B;9.00;8.93;0.58;0.22;3.21;582.42;13.79;-5.40%;1.33%;21.50%;15.45%;6.80%;70.10;-1.54%;62,005
31;ABIL;11.50M;-;-;-;4.42;-;16.42;-;-13.10%;-;-;-;-;3.84;-7.36%;158,376
32;ABIO;7.44M;-;-;-;-;0.80;0.78;-;2.30%;-33.80%;33.50%;-;-;0.57;10.25%;1,310,074
33;ABM;2.19B;35.21;15.81;2.20;0.35;1.51;47.70;24.43;22.40%;12.48%;3.20%;16.00%;4.90%;33.36;0.48%;118,722
34;ABMD;18.69B;103.76;86.11;3.59;29.14;25.84;51.84;131.89;149.60%;4.53%;51.40%;28.90%;30.30%;438.43;4.49%;758,636
35;ABR;859.55M;9.42;10.47;1.18;2.16;1.11;8.03;7.17;27.40%;-17.62%;12.10%;8.00%;25.50%;11.48;0.30%;392,123
36;ABT;124.86B;54.66;22.10;4.62;4.22;4.11;38.25;42.99;44.60%;11.98%;47.40%;11.84%;7.50%;71.95;0.72%;3,358,725
